ID_Ra;Navn;CO2;Energi;Fedt;Kulhydrat;Protein
Ra00001;Pepper sweet red raw;1.07;133;0.1;5.2;0.9
Ra00002;Tomato. ripe. raw. origin unknown;0.48;87;0.1;3.2;0.8
Ra00003;Squash. raw;0.84;81;0.2;2.4;1.4
Ra00004;Aubergine. raw;0.99;83;0.1;3.1;0.9
Ra00005;Tomato. dried;2.72;1187;3;43.5;14.1
Ra00006;Pumpkin. raw;0.84;75;0.1;3.3;0.6
Ra00007;Cucumber. raw;0.40;50;0;1.6;0.7
Ra00008;Gherkin cucumber. raw;0.40;70;0.1;2.1;1.2
Ra00009;Pepper. hot chili. raw;1.07;187;0.2;7.7;2
Ra00010;Beef. topside. cap off. raw;67.82;472;2.5;0;22.3
Ra00011;Beef. fillet. defatted. raw;227.85;576;6.4;0;20
Ra00012;Beef. mince. 10-15% fat. raw;48.04;687;9.7;0;19.4
Ra00013;Beef. rump. raw;67.82;879;14.9;0;19.3
Ra00014;Beef. mince. 15-20% fat. raw;45.47;903;16.2;0;17.8
Ra00015;Beef. T-bone steak. raw;120.83;878;14.4;0;20.3
Ra00016;Beef. mince. 5-10% fat. raw;50.61;683;9.5;0;19.5
Ra00017;Beer. lager. alc. 4.4 % by vol.;0.68;152;0;2.7;0.3
Ra00018;Beer. Danish household. low alcohol;0.68;189;0;8.6;0.3
Ra00019;Beer. strong. alc. 7.6 % by vol.;0.68;260;0;4.6;0.4
Ra00020;Biscuit. sweet;2.93;1834;10.6;72.5;7.7
Ra00021;Biscuit. wholemeal. digestive type;2.82;1931;16.5;66.5;7.1
Ra00022;Butter cookie. wheat. Danish. industrially produced;3.23;2174;27.1;61.7;5.4
Ra00023;American inspired cookie;2.82;2139;26.5;58.4;5.9
Ra00024;Granola bar;4.75;1830;15;57.8;6.7
Ra00025;Wafer sticks;2.74;2133;25.7;63;4.6
Ra00026;Bread-crumbs;1.84;1488;1.5;69.8;11.6
Ra00027;Crispbread. knackebrot. rye. coarse;1.62;1449;2;61;10.2
Ra00028;Wheat bread. for toasting. industrially produced;1.16;1077;2.8;47;8.7
Ra00029;Bread. white. for sausages;1.16;1065;3.8;43.1;9.5
Ra00030;Bread. white. roll. coarse grain;1.16;1207;4;49.4;10.5
Ra00031;Rye bread. dark. whole grains. industrially produced;1.02;843;1.4;36.5;5.5
Ra00032;Rye bread crumbs with brown sugar. average values;2.21;1473;2;71.2;6.5
Ra00033;Corn flakes. average values;2.39;1586;1.4;82;7.5
Ra00034;Breakfast cereal. müsli. average values;2.31;1704;11.1;56;10.1
Ra00035;Breakfast cereal. Guldkorn;2.68;1638;1.3;78.1;7.2
Ra00036;Breakfast cereal. Havrefras;2.06;1601;7.2;56.4;14.2
Ra00037;Butter. salt added;3.30;3047;81.5;0.6;0.7
Ra00038;Blended spread. 75% fat;3.21;2820;75.5;1.1;0.5
Ra00039;Plain cake. chocolate cake;2.32;1808;23.5;48.8;5.8
Ra00040;Danish pastry. kanelsnegl;1.90;1747;22.5;47.6;4.9
Ra00041;Plain cake. average values;2.32;1775;20.2;53.1;5
Ra00042;Cream pastry. layer cake;2.32;1264;16.7;34.4;3.3
Ra00043;Cookie. truffle product / unbaked. industrially produced;3.67;1774;17;58.1;4
Ra00044;Bacon. frying. raw;6.43;1775;42;0;13
Ra00045;Sausage. salami;5.70;2104;49.2;2.8;13.9
Ra00046;Pork. ham. boiled. sliced;4.28;457;4;0.3;17.9
Ra00047;Roastbeef. sliced;67.91;504;3.5;0.3;21.7
Ra00048;Pork. sausage. Danish. raw;2.76;907;17.4;4.7;12.2
Ra00049;Pork. liver paste. Danish;3.96;989;19.2;4.7;11.3
Ra00050;Pork. flank. spiced. cooked;4.28;854;22.8;nv;nv
Ra00051;Pork sausage. Thüringer bratwurst;2.16;1172;24.5;1.1;14.4
Ra00052;Chicken. breast. boiled. sliced;4.78;475;3.2;0.4;20.6
Ra00053;Chicken. leg. flesh and skin. raw;1.98;635;8.7;0;18.4
Ra00054;Chicken. drumstick. flesh and skin. raw;1.88;647;8.9;0;18.7
Ra00055;Chicken. breast. flesh and skin. raw;5.20;623;6.9;0;21.5
Ra00056;Chicken. sausage;1.93;806;15;1.9;12.8
Ra00057;Chicken. hen. flesh and skin. raw;3.27;888;15.9;0;17.1
Ra00058;Tea. leaves;16.71;961;2;3;19.6
Ra00059;Coffee. instant. powder;17.28;1270;1.7;11;19.5
Ra00060;Coffee bean. roasted. ground;6.90;1668;15.4;28.5;14.6
Ra00061;Cocoa. instant. without milk. powder;17.30;1660;3.8;73.6;5.3
Ra00062;Cocoa. powder;17.30;1682;21.9;10.5;22.5
Ra00063;Lamb. flank. spiced. cooked;32.77;1498;31.7;0;19
Ra00064;Sausage. beef salami;49.16;1681;36.2;0;20.1
Ra00065;Pork. saddle. smoked. boiled;4.28;508;4.9;0;18.4
Ra00066;Salad dressing. oil and vinegar;3.43;1446;34.3;9.8;0.6
Ra00067;Salad dressing. thousand island;3.11;1547;35.1;12.7;1.1
Ra00068;Water. tap. drinking. average values;0.00;0;0;0;0
Ra00069;Duck. flesh only. raw;3.27;530;5.1;0;18.3
Ra00070;Goose. flesh only. raw;3.27;663;7.1;0;22.8
Ra00071;Mackerel mayonnaise salad;2.34;1643;39.1;2.5;8.9
Ra00072;Sauce gravad lax;1.86;2322;56;13.1;1.6
Ra00073;Italian mayonnaise salad;3.13;1266;29.7;7.2;1.9
Ra00074;Curry mayonnaise salad;3.13;1548;37.1;8.3;1.7
Ra00075;Yogurt plain. whole milk;0.73;260;3.6;3.6;3.7
Ra00076;Cream. cultured. 18 % fat;1.57;793;18.6;2.8;2.8
Ra00077;Skyr. 0.2 % fat;1.03;297;0.2;4;10.8
Ra00078;Cheese. firm. Danbo. 45 % fidm.;5.41;1348;25;0.1;23.2
Ra00079;Cheese. hard. Parmesan. 32 % fidm.;5.41;1488;24.1;0.1;32.9
Ra00080;Cheese. semihard. Mozzarella. 30 % fidm.;5.41;1163;17.7;0.1;28.3
Ra00081;Herring. pickled. canned;5.35;1138;16.2;20.9;11.9
Ra00082;Fish balls. canned;2.19;261;1;4.9;8.3
Ra00083;Fish pudding. raw;2.84;466;2.8;12.8;8.5
Ra00084;Cod. liver. canned;9.03;2192;55.1;1;4.6
Ra00085;Cod. roe. canned;4.24;417;3.7;2.7;13.7
Ra00086;Shrimps. canned;9.71;336;1.2;0.8;16.5
Ra00087;Cod. fillet. breaded. raw;2.41;486;0.8;12.9;13.7
Ra00088;Caviar. Danish (roe. lump-sucker);4.16;443;5.7;0.8;12.9
Ra00089;Fish cake. fried;3.35;650;6.7;9.8;13.7
Ra00090;Cod. liver. smoked;3.58;2568;66.6;1;5.1
Ra00091;Cod. liver. raw;2.81;2568;66.6;1;5.1
Ra00092;Lobster. canned;6.35;379;1.5;0.3;18.7
Ra00093;Mussels. in water. canned;1.69;433;3;0;17
Ra00094;Tuna. in tomato sauce. canned;4.48;478;2.9;4.6;17.2
Ra00095;Cod. roe. raw;4.15;508;2.6;1.5;23.2
Ra00096;Crab claws. meat. raw;9.77;473;1.8;0;22.9
Ra00097;Caviar. made from capelin roe;4.15;770;14;5.7;9.1
Ra00098;Tuna. in water. canned;4.03;451;1.2;0;23.9
Ra00099;Halibut. greenland. smoked;2.69;838;16.1;0;14.3
Ra00100;Fish fillet. breaded. deepfried;2.71;1201;16.1;21.9;13.4
Ra00101;Fish fingers. breaded. frozen;2.37;787;8.4;15.2;12.8
Ra00102;Rye flour. dark. whole meal;1.17;1403;2.3;54.8;9.4
Ra00103;Wheat. flour. wholemeal;1.24;1398;2.4;46.8;11.4
Ra00104;Rye kernels. whole/cracked;1.17;1401;2.3;58.2;9.7
Ra00105;Wheat. kernels. whole/cracked;1.24;1438;2;61.9;11.5
